Ticker,Date/Time,Open,High,Low,Close
VTJ,3/31/2017,10.30,10.73,8.23,9.48
VTJ,4/28/2017,8.73,8.73,7.23,7.81
VTJ,5/31/2017,7.73,7.73,6.64,6.65
VTJ,6/30/2017,7.07,7.81,6.48,6.65
VTJ,7/31/2017,6.90,7.15,5.57,6.15
VTJ,8/31/2017,5.90,8.56,5.90,8.23
VTJ,9/29/2017,8.23,9.23,7.73,8.15
VTJ,10/31/2017,8.07,8.15,6.73,7.06
VTJ,11/30/2017,7.06,8.13,6.60,7.33
VTJ,12/29/2017,7.33,8.53,7.06,7.70
VTJ,1/31/2018,8.34,8.34,6.69,6.69
VTJ,2/28/2018,6.69,7.52,6.05,7.24
VTJ,3/30/2018,7.24,7.24,6.14,6.42
VTJ,4/27/2018,6.42,7.33,5.13,5.13
VTJ,5/31/2018,5.13,5.50,5.13,5.50
VTJ,7/31/2018,5.50,6.10,5.04,6.10
VTJ,8/31/2018,6.10,6.10,6.00,6.00
VTJ,9/28/2018,6.00,6.00,4.80,4.80
VTJ,10/31/2018,4.60,5.20,4.40,4.70
VTJ,11/30/2018,4.70,4.70,4.30,4.60
VTJ,12/21/2018,4.60,4.60,4.20,4.20
VTL,2/28/2013,12.98,12.98,12.68,12.68
VTL,3/29/2013,12.68,12.68,12.68,12.68
VTL,5/31/2013,12.68,13.95,12.68,13.95
VTL,2/28/2014,9.51,11.16,9.51,11.16
VTL,3/31/2014,11.16,11.16,8.56,10.15
VTL,4/29/2014,9.52,9.77,8.88,9.77
VTL,5/30/2014,9.52,9.52,4.94,5.01
VTL,6/30/2014,5.45,14.27,4.56,12.91
VTL,7/31/2014,12.91,15.57,12.91,14.01
VTL,9/30/2014,14.86,14.86,13.43,13.43
VTL,10/31/2014,13.43,13.43,12.13,12.13
VTL,3/31/2015,11.03,11.03,11.03,11.03
VTL,4/27/2015,11.03,11.03,11.03,11.03
VTL,6/30/2015,11.03,19.33,11.03,19.33
VTL,10/30/2015,17.55,17.88,17.55,17.55
VTL,7/29/2016,15.82,15.82,14.30,14.30
VTL,8/31/2016,14.30,14.30,12.03,12.03
VTL,9/30/2016,12.03,12.03,10.86,10.86
VTL,3/31/2017,10.86,10.86,8.63,8.64
VTL,4/28/2017,8.64,9.48,7.80,9.48
VTL,8/31/2017,9.48,9.48,8.56,8.56
VTL,9/29/2017,8.56,12.92,8.56,12.92
VTL,11/30/2017,12.92,13.32,12.11,13.32
VTL,12/29/2017,14.53,22.29,14.53,22.28
VTL,5/31/2018,24.46,24.46,22.20,22.20
VTL,6/29/2018,20.18,20.19,18.09,18.17
VTP,12/21/2018,125.00,128.70,122.50,128.70
VTO,1/31/2013,3.08,3.40,2.83,3.15
VTO,2/28/2013,3.15,3.85,2.96,3.47
VTO,3/29/2013,3.47,3.53,3.09,3.21
VTO,4/26/2013,3.21,3.28,2.76,2.83
VTO,5/31/2013,2.90,3.24,2.69,3.17
VTO,6/28/2013,3.10,3.17,2.75,2.96
VTO,7/31/2013,2.89,2.97,2.76,2.83
VTO,8/30/2013,2.76,2.90,2.62,2.69
VTO,9/30/2013,2.69,2.76,2.48,2.76
VTO,10/31/2013,2.76,3.59,2.69,3.38
VTO,11/29/2013,3.38,4.89,3.31,4.48
VTO,12/31/2013,4.41,4.76,4.13,4.34
VTO,1/27/2014,4.41,4.62,3.99,4.48
VTO,2/28/2014,4.48,5.52,4.48,5.24
VTO,3/31/2014,5.24,6.90,4.96,6.07
VTO,4/29/2014,6.07,6.21,4.82,4.96
VTO,5/30/2014,5.03,5.03,3.72,4.72
VTO,6/30/2014,4.72,5.23,4.36,5.01
VTO,7/31/2014,4.94,5.45,4.94,5.16
VTO,8/29/2014,5.16,5.95,5.08,5.74
VTO,9/30/2014,5.81,6.18,5.44,5.88
VTO,10/31/2014,5.95,6.40,5.52,6.03
VTO,11/28/2014,6.03,6.39,5.81,6.39
VTO,12/31/2014,6.46,7.19,5.80,6.33
VTO,1/30/2015,6.33,6.94,6.18,6.56
VTO,2/27/2015,6.56,6.56,6.03,6.18
VTO,3/31/2015,6.10,6.41,5.65,5.73
VTO,4/27/2015,5.81,5.96,5.50,5.58
VTO,5/29/2015,5.58,5.58,4.97,5.43
VTO,6/30/2015,5.43,5.81,5.20,5.43
VTO,7/31/2015,5.66,6.12,5.35,5.50
VTO,8/31/2015,5.50,5.58,4.81,5.27
VTO,9/30/2015,5.27,5.27,4.89,5.04
VTO,10/30/2015,4.96,5.43,4.96,5.27
VTO,11/30/2015,5.35,5.66,5.19,5.27
VTO,12/31/2015,5.19,5.50,5.04,5.20
VTO,1/29/2016,5.12,5.28,4.73,5.04
VTO,2/29/2016,5.04,5.35,4.66,4.82
VTO,3/31/2016,4.82,5.20,4.74,4.82
VTO,4/29/2016,4.90,5.88,4.74,5.81
VTO,5/31/2016,5.89,6.76,5.81,6.43
VTO,6/30/2016,6.43,8.05,6.43,7.81
VTO,7/29/2016,7.89,9.77,7.65,8.87
VTO,8/31/2016,8.87,8.87,7.32,8.46
VTO,9/30/2016,8.46,8.54,7.48,7.70
VTO,10/31/2016,7.66,7.95,7.33,7.41
VTO,11/30/2016,7.45,7.45,6.51,6.75
VTO,12/30/2016,6.73,6.88,6.30,6.49
VTO,1/25/2017,6.42,6.79,6.29,6.55
VTO,2/28/2017,6.59,7.65,6.48,6.90
VTO,3/31/2017,6.90,7.07,6.66,6.78
VTO,4/28/2017,6.71,6.71,6.34,6.39
VTO,5/31/2017,6.39,7.04,6.36,6.79
VTO,6/30/2017,6.75,7.09,6.53,6.58
VTO,7/31/2017,6.65,6.83,6.25,6.50
VTO,8/31/2017,6.57,6.58,6.28,6.36
VTO,9/29/2017,6.31,6.65,6.31,6.57
VTO,10/31/2017,6.53,6.84,6.43,6.49
VTO,11/30/2017,6.49,7.48,6.48,7.36
VTO,12/29/2017,7.37,8.09,6.75,7.87
VTO,1/31/2018,7.93,8.28,7.60,7.92
VTO,2/28/2018,8.01,8.01,7.11,7.69
VTO,3/30/2018,7.73,8.10,7.29,7.69
VTO,4/27/2018,7.65,7.94,7.39,7.83
VTO,5/31/2018,7.92,8.39,7.10,7.34
VTO,6/29/2018,7.30,7.45,7.08,7.30
VTO,7/31/2018,7.18,7.60,7.00,7.43
VTO,8/31/2018,7.39,7.65,7.31,7.64
